date,score,signal,asian,europe,div,reason,sectors,n_targets,kospi_gap,sector_gap,direction_hit,excess
2025-04-04,-6.0,패닉,-1.0,-4.0,-1.0,🔴 하락 → 인버스 헤지,inverse,2,-4.306362617296274,4.306362617296274,1.0,8.612725234592547
2025-04-07,-10.0,패닉,-2.0,-6.0,-4.0,🔴 하락 → 인버스 헤지,inverse,2,2.27643677998202,-2.27643677998202,0.0,-4.55287355996404
2025-04-08,-5.0,패닉,0.5,0.0,-5.5,🔴 하락 → 인버스 헤지,inverse,2,-0.18164406548850612,0.18164406548850612,1.0,0.36328813097701224
2025-04-09,-9.5,패닉,-3.5,-0.5,-5.5,🔴 하락 → 인버스 헤지,inverse,2,4.422109857429408,-4.422109857429408,0.0,-8.844219714858816
2025-04-10,0.5,관망,2.0,1.0,-2.5,🟡 관망 — 진입 없음,,0,-1.8126372071557706,,,
2025-04-11,-6.5,패닉,-0.5,-0.5,-5.5,🔴 하락 → 인버스 헤지,inverse,2,0.8862532002612094,-0.8862532002612094,0.0,-1.7725064005224187
2025-04-14,8.0,강매수,3.5,5.5,-1.0,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.3509977061085113,0.427990626220786,1.0,0.07699292011227471
2025-04-15,-1.5,금지,-1.5,3.0,-3.0,🟡 관망 — 진입 없음,,0,-0.18688400292053065,,1.0,
2025-04-16,-2.5,금지,1.0,0.5,-4.0,🔴 하락 → 인버스 헤지,inverse,2,0.17446953132536094,-0.17446953132536094,0.0,-0.3489390626507219
2025-04-17,-2.5,금지,-2.0,1.0,-1.5,🔴 하락 → 인버스 헤지,inverse,2,0.11699016849726929,-0.11699016849726929,0.0,-0.23398033699453857
2025-04-18,-2.0,금지,0.0,0.0,-2.0,🟡 관망 — 진입 없음,,0,0.11918890202286886,,0.0,
2025-04-21,-6.5,패닉,0.0,-2.0,-4.5,🔴 하락 → 인버스 헤지,inverse,2,-0.2909472862972315,0.2909472862972315,1.0,0.581894572594463
2025-04-22,0.0,관망,0.0,4.0,-4.0,🟡 관망 — 진입 없음,,0,1.3640964305634495,,,
2025-04-23,2.5,매수,2.0,3.5,-3.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,-0.008709779138947948,0.3445927901416282,0.0,0.35330256928057613
2025-04-24,3.5,매수,2.5,3.0,-2.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.8825177148175708,1.6130253410982343,1.0,0.7305076262806635
2025-04-25,7.0,강매수,2.0,4.0,1.0,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.19361157546589552,0.3885457212972656,1.0,0.1949341458313701
2025-04-28,-1.0,관망,2.0,0.0,-3.0,🟡 관망 — 진입 없음,,0,0.054529967104818895,,,
2025-04-29,3.0,매수,-2.0,4.0,1.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,-0.1707277149893985,-0.4369173970962203,0.0,-0.2661896821068218
2025-04-30,-3.0,금지,-0.5,-0.5,-2.0,🔴 하락 → 인버스 헤지,inverse,2,-0.003523724261414503,0.003523724261414503,1.0,0.007047448522829006
2025-05-02,5.0,강매수,2.0,3.5,-0.5,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.6738833942145371,0.8469668906830409,1.0,0.17308349646850374
2025-05-07,3.5,매수,2.5,1.0,0.0,🟢 + CNH강세,"semiconductor,entertainment",5,0.2902311975060435,1.3397290452531443,1.0,1.0494978477471009
2025-05-08,-1.5,금지,-2.0,2.0,-1.5,🟡 관망 — 진입 없음,,0,0.3275835143461533,,0.0,
2025-05-09,3.5,매수,2.0,2.0,-0.5,🟢 + 유가↑,"oil_resource,shipbuilding",4,0.6468054083844851,0.42963654814082286,1.0,-0.21716886024366222
2025-05-12,6.0,강매수,2.0,3.0,1.0,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,-0.2136311166011088,0.7550516012332236,0.0,0.9686827178343324
2025-05-13,3.5,매수,3.5,0.5,-0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.6494424231623701,1.487418819150175,1.0,0.8379763959878048
2025-05-14,-2.0,금지,2.0,-2.5,-1.5,🟡 관망 — 진입 없음,,0,-0.229877193266317,,1.0,
2025-05-15,2.0,매수,-2.0,3.0,1.0,🟢 + 지정학 긴장,"space_defense,shipbuilding",5,0.35400649952580265,0.5632950000536773,1.0,0.20928850052787462
2025-05-16,0.5,관망,-2.0,1.5,1.0,🟡 관망 — 진입 없음,,0,-0.5013634259818619,,,
2025-05-19,2.5,매수,-1.0,3.0,0.5,🟢 기본,"semiconductor,power_infra",5,0.7397965116497156,1.6738981644037367,1.0,0.9341016527540211
2025-05-20,5.5,강매수,2.0,2.5,1.0,🟢🟢 기본,"semiconductor,power_infra",5,0.5419268679764883,0.45987909421238,1.0,-0.08204777376410827
2025-05-21,-3.5,금지,-2.0,0.5,-2.0,🔴 하락 → 인버스 헤지,inverse,2,-0.41591441474614615,0.41591441474614615,1.0,0.8318288294922923
