date,score,signal,asian,europe,div,reason,sectors,n_targets,kospi_gap,sector_gap,direction_hit,excess
2025-03-21,-6.5,패닉,-3.5,-2.5,-0.5,💀 극단 하락 → 인버스 헤지,inverse,2,-0.2534855065368835,0.2534855065368835,1.0,0.506971013073767
2025-03-24,2.5,매수,2.0,0.0,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.7967101998996565,1.2071457111786108,1.0,0.4104355112789543
2025-03-25,5.5,강매수,2.0,3.0,0.5,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.46945416608255947,0.20905703407054255,1.0,-0.2603971320120169
2025-03-26,-5.5,패닉,-1.0,-5.0,0.5,💀 극단 하락 → 인버스 헤지,inverse,2,-0.8948732813042207,0.8948732813042207,1.0,1.7897465626084414
2025-03-27,-3.5,금지,0.0,-4.0,0.5,🟡 관망 — 진입 없음,,0,-0.5569307510165387,,1.0,
2025-03-28,-0.5,관망,2.0,-2.0,-0.5,🟡 관망 — 진입 없음,,0,-1.7412192199541,,,
2025-03-31,-6.5,패닉,-2.0,-3.0,-1.5,💀 극단 하락 → 인버스 헤지,inverse,2,1.2139627113667395,-1.2139627113667395,0.0,-2.427925422733479
2025-04-01,0.5,관망,-2.0,3.0,-0.5,🟡 관망 — 진입 없음,,0,0.1677735213354722,,,
2025-04-02,-1.5,관망,2.0,-3.0,-0.5,🟡 관망 — 진입 없음,,0,-2.730805904869669,,,
2025-04-03,-7.5,패닉,-2.0,-4.0,-1.5,💀 극단 하락 → 인버스 헤지,inverse,2,-1.4561451581818625,1.4561451581818625,1.0,2.912290316363725
2025-04-04,-6.0,패닉,-1.0,-4.0,-1.0,💀 극단 하락 → 인버스 헤지,inverse,2,-4.306362617296274,4.306362617296274,1.0,8.612725234592547
2025-04-07,-10.0,패닉,-2.0,-6.0,-4.0,💀 극단 하락 → 인버스 헤지,inverse,2,2.27643677998202,-2.27643677998202,0.0,-4.55287355996404
2025-04-08,-5.0,금지,0.5,0.0,-5.5,🟡 관망 — 진입 없음,,0,-0.18164406548850612,,1.0,
2025-04-09,-9.5,패닉,-3.5,-0.5,-5.5,💀 극단 하락 → 인버스 헤지,inverse,2,4.422109857429408,-4.422109857429408,0.0,-8.844219714858816
2025-04-10,0.5,관망,2.0,1.0,-2.5,🟡 관망 — 진입 없음,,0,-1.8126372071557706,,,
2025-04-11,-6.5,패닉,-0.5,-0.5,-5.5,💀 극단 하락 → 인버스 헤지,inverse,2,0.8862532002612094,-0.8862532002612094,0.0,-1.7725064005224187
2025-04-14,8.0,강매수,3.5,5.5,-1.0,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.3509977061085113,0.427990626220786,1.0,0.07699292011227471
2025-04-15,-1.5,관망,-1.5,3.0,-3.0,🟡 관망 — 진입 없음,,0,-0.18688400292053065,,,
2025-04-16,-2.5,금지,1.0,0.5,-4.0,🟡 관망 — 진입 없음,,0,0.17446953132536094,,0.0,
2025-04-17,-2.5,금지,-2.0,1.0,-1.5,🟡 관망 — 진입 없음,,0,0.11699016849726929,,0.0,
2025-04-18,-2.0,관망,0.0,0.0,-2.0,🟡 관망 — 진입 없음,,0,0.11918890202286886,,,
2025-04-21,-6.5,패닉,0.0,-2.0,-4.5,💀 극단 하락 → 인버스 헤지,inverse,2,-0.2909472862972315,0.2909472862972315,1.0,0.581894572594463
2025-04-22,0.0,관망,0.0,4.0,-4.0,🟡 관망 — 진입 없음,,0,1.3640964305634495,,,
2025-04-23,2.5,매수,2.0,3.5,-3.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,-0.008709779138947948,0.3445927901416282,0.0,0.35330256928057613
2025-04-24,3.5,매수,2.5,3.0,-2.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.8825177148175708,1.6130275219831633,1.0,0.7305098071655926
2025-04-25,7.0,강매수,2.0,4.0,1.0,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.19361157546589552,0.3885453814935619,1.0,0.19493380602766636
2025-04-28,-1.0,관망,2.0,0.0,-3.0,🟡 관망 — 진입 없음,,0,0.054529967104818895,,,
2025-04-29,3.0,매수,-2.0,4.0,1.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,-0.1707277149893985,-0.43691917758216053,0.0,-0.26619146259276205
2025-04-30,-3.0,금지,-0.5,-0.5,-2.0,🟡 관망 — 진입 없음,,0,-0.003523724261414503,,1.0,
2025-05-02,5.0,강매수,2.0,3.5,-0.5,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.6738833942145371,0.8469629795128089,1.0,0.17307958529827172
2025-05-07,3.5,매수,2.5,1.0,0.0,🟢 + CNH강세,"semiconductor,entertainment",5,0.2902311975060435,1.339729037842508,1.0,1.0494978403364645
2025-05-08,-1.5,관망,-2.0,2.0,-1.5,🟡 관망 — 진입 없음,,0,0.3275835143461533,,,
2025-05-09,3.5,매수,2.0,2.0,-0.5,🟢 + 유가↑,"oil_resource,shipbuilding",4,0.6468054083844851,0.4296404949463928,1.0,-0.2171649134380923
2025-05-12,6.0,강매수,2.0,3.0,1.0,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,-0.2136311166011088,0.7550533259827038,0.0,0.9686844425838126
2025-05-13,3.5,매수,3.5,0.5,-0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.6494424231623701,1.4874208081040974,1.0,0.8379783849417273
2025-05-14,-2.0,관망,2.0,-2.5,-1.5,🟡 관망 — 진입 없음,,0,-0.229877193266317,,,
2025-05-15,2.0,매수,-2.0,3.0,1.0,🟢 + 지정학 긴장,"space_defense,shipbuilding",5,0.35400649952580265,0.5632950000536773,1.0,0.20928850052787462
2025-05-16,0.5,관망,-2.0,1.5,1.0,🟡 관망 — 진입 없음,,0,-0.5013634259818619,,,
2025-05-19,2.5,매수,-1.0,3.0,0.5,🟢 기본,"semiconductor,power_infra",5,0.7397965116497156,1.6738981612015595,1.0,0.9341016495518439
2025-05-20,5.5,강매수,2.0,2.5,1.0,🟢🟢 기본,"semiconductor,power_infra",5,0.5419268679764883,0.4598792944234817,1.0,-0.08204757355300657
2025-05-21,-3.5,금지,-2.0,0.5,-2.0,🟡 관망 — 진입 없음,,0,-0.41591441474614615,,1.0,
2025-05-22,0.0,관망,0.5,-2.0,1.5,🟡 관망 — 진입 없음,,0,0.3817041791199879,,,
2025-05-23,-6.5,패닉,-1.0,-4.0,-1.5,💀 극단 하락 → 인버스 헤지,inverse,2,0.2453565680823034,-0.2453565680823034,0.0,-0.4907131361646068
2025-05-26,6.0,강매수,2.0,4.0,0.0,🟢🟢 기본,"semiconductor,power_infra",5,-0.533575245890167,-1.2430321764133843,0.0,-0.7094569305232172
2025-05-27,4.5,매수,-2.0,4.5,2.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.44137906007311756,1.2179902203178667,1.0,0.7766111602447492
2025-05-28,-1.5,관망,2.0,-4.0,0.5,🟡 관망 — 진입 없음,,0,0.7831079532892856,,,
2025-05-29,0.0,관망,2.0,-2.5,0.5,🟡 관망 — 진입 없음,,0,-0.27199124602770286,,,
2025-05-30,1.0,관망,-2.0,2.5,0.5,🟡 관망 — 진입 없음,,0,-0.17644893198485093,,,
2025-06-02,-2.0,관망,0.0,-1.5,-0.5,🟡 관망 — 진입 없음,,0,1.4431413314957302,,,
2025-06-04,7.5,강매수,2.0,4.5,1.0,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.7033964291029249,1.3974993108866003,1.0,0.6941028817836754
2025-06-05,0.0,관망,-2.0,1.0,1.0,🟡 관망 — 진입 없음,,0,1.0494126794764127,,,
2025-06-09,1.0,관망,3.5,-3.0,0.5,🟡 관망 — 진입 없음,,0,0.5900369266785636,,,
2025-06-10,-1.0,관망,1.0,-3.0,1.0,🟡 관망 — 진입 없음,,0,0.5386761208654387,,,
2025-06-11,1.5,관망,2.0,0.0,-0.5,🟡 관망 — 진입 없음,,0,0.10147611082874312,,,
2025-06-12,-3.5,금지,-2.0,-2.0,0.5,🟡 관망 — 진입 없음,,0,0.3609565297874,,0.0,
2025-06-13,-7.5,패닉,-2.0,-4.0,-1.5,💀 극단 하락 → 인버스 헤지,inverse,2,0.3067719580809091,-0.3067719580809091,0.0,-0.6135439161618182
